source_ip,destination_ip,source_port,destination_port,timestamp,packet_size,protocol,connection_duration,num_packets,avg_packet_interval,payload_entropy,suspicious_strings,url_length,num_subdomains,ssl_cert_validity,label
200.44.168.214,140.104.229.164,30522.40628738122,9281.83000817921,2024-09-09 02:58:10.573111,901.9128367252952,UDP,1.2650641685707076,10.925912100321076,0.3897958168196684,4.814683170321168,2.96451290828531,193.92060201436888,6.158808296349919,0.01918678550682601,phishing
102.236.253.48,135.193.108.77,57818.53885993259,29669.444506349682,2024-09-09 09:15:03.584113,962.9700741966254,TCP,0.25217516235503507,13.938837558273823,0.22792949867664417,4.03492023790185,-0.0032604903321950297,94.36588967367807,1.9854076016056326,0.046681566101283024,legitimate
74.85.16.117,255.1.140.80,11236.11415388884,15665.868372274334,2024-09-09 11:37:19.584394,583.914011828241,SMTP,6.925781499772467,7.881859035066834,0.4594411101457887,0.9306260179801691,0.8882574945837045,96.04173443885716,0.143113418730389,0.9840900414874163,legitimate
79.121.252.187,150.82.207.136,50028.46062167181,39904.07957983472,2024-09-09 10:21:11.585111,752.8257239275472,HTTP,1.474503310640137,3.018974319598206,0.3800937318434489,1.979379882341358,1.9009233516462452,75.19979575815486,4.3634202887457985,0.056142458328838116,legitimate
114.88.229.209,173.143.6.6,9843.539541147107,-1359.9708380241339,2024-09-09 13:00:45.585111,802.1484144093566,TCP,0.3486364480068944,15.007187965682318,0.2628633756420769,3.938509038428105,5.297148844308492,73.43011782516089,7.770302100934692,-0.02211341445372359,phishing
83.187.242.153,15.54.75.89,65476.690878232715,57835.681227780384,2024-09-09 10:44:00.586111,1285.6456148273894,SMTP,2.8018475789674064,6.9944108264892515,1.3759959700664317,0.56229920677739,0.01538321196922522,87.35238454296226,3.0002458146225806,0.020761442866882317,legitimate
50.105.201.63,177.182.63.167,56724.29641411382,907.6831900807119,2024-09-08 22:47:47.587111,741.4306439494783,FTP,9.080798085060035,11.094052803838519,0.5654286435220682,0.2739051027647727,4.128502289883092,143.99999544145666,5.996706952718302,0.010167121979140938,phishing
56.11.151.122,127.212.164.144,22541.86166908489,63714.60480862381,2024-09-09 17:22:35.587111,1001.3158150388405,SMTP,1.215150609346619,7.924005095564646,0.45279283204711046,3.533462628238646,2.0899884355109672,30.113181321986655,0.193395101740659,-0.03918074166092098,legitimate
100.117.147.38,209.37.98.221,33550.706060533565,29221.966542350132,2024-09-09 09:22:37.587111,795.71531576275,TCP,0.555470932915503,7.911179879868352,0.4325841063779905,7.368840899934154,0.07386887732046592,38.54941134175909,4.832785990149186,0.060334762243858746,legitimate
115.196.245.156,237.140.168.253,7699.75087152279,-1193.3727507669882,2024-09-09 05:04:30.588112,619.0546006688917,HTTPS,0.0420006810042596,5.892679832933687,0.35429209488548113,4.019655337255458,5.0011860082228505,68.92294780115937,10.044358830917588,0.9940452996879825,phishing
